Date,ClosingPrice,IBIT,FBTC,BITB,ARKB,BTCO,EZBC,BRRR,HODL,BTCW,GBTC,TotalETF
14-02-2024,51826.69531,224.3,118.9,47.2,101.5,-37.5,9,1,2.9,3.6,-131.2,339.7
15-02-2024,51938.55469,330.9,97.4,120.2,88.9,1.3,3,7.4,2.9,0,-174.6,477.4
16-02-2024,52160.20313,191.4,116.7,20.9,140,1,0,7.9,0,2.8,-150.4,330.3
20-02-2024,52284.875,154.3,71.7,11.1,27.4,0,0,0,5.9,2.2,-137,135.6
21-02-2024,51839.17969,96.5,52.5,0,10.7,1,3,0,0,0,-199.3,-35.6
22-02-2024,51304.97266,125.1,158.9,7.9,6.7,0,0,1.2,2.9,4.4,-55.7,251.4
23-02-2024,50731.94922,167.5,52.5,12,34.5,0,1.5,0,8.7,0,-44.2,232.5
26-02-2024,54522.40234,111.8,243.3,37.2,130.6,4.4,7.9,0,6.2,0.9,-22.4,519.9
27-02-2024,57085.37109,520.2,126,18.4,5.4,2.6,16.6,0,9.7,3.6,-125.6,576.9
28-02-2024,62504.78906,612.1,245.2,9.9,23.8,0,0,0,-3.4,2.2,-216.4,673.4
29-02-2024,61198.38281,603.9,44.8,21.7,9.9,-1.5,5.4,0,7,0,-598.9,92.3
1/3/2024,62440.63281,202.5,49.3,42.3,55.1,0,5.4,0,-1.8,0,-492.4,-139.6
4/3/2024,68330.41406,420.1,404.6,90.9,38.2,-25.7,7.8,3.7,-5.7,-3.2,-368,562.7
5/3/2024,63801.19922,788.3,125.6,3.7,63.7,-14.2,3.6,0,3.5,6.6,-332.5,648.3
6/3/2024,66106.80469,281.7,205.7,28.6,41.3,3,5.8,40.7,0,1.4,-276.2,332
7/3/2024,66925.48438,244.2,473.4,41.4,42.1,0,0,41.8,1.9,2.5,-374.8,472.5
8/3/2024,68300.09375,336.3,130.3,8,1.7,-7.6,8,41.4,7.8,0,-302.9,223
11/3/2024,72123.90625,562.9,215.5,49.8,13,-9.7,0,43.4,118.8,5.8,-494.1,505.4
12/3/2024,71481.28906,849,51.6,24.6,93,-19.7,0,39.6,82.9,3,-79,1045
13-03-2024,73083.5,586.5,281.5,5.6,44.6,0,19.1,4.1,16.5,2.3,-276.5,683.7
14-03-2024,71396.59375,345.4,13.7,0,3.5,0,4,9.4,13.8,0,-257.1,132.7
15-03-2024,69403.77344,139.8,155.6,20.5,0,0,2,1.2,15.8,3.3,-139.4,198.8
18-03-2024,67548.59375,451.5,5.9,17.6,2.7,0,0,4.8,5.7,0,-642.5,-154.3
19-03-2024,61912.77344,75.2,39.6,2.5,0,0,0,0,0,0,-443.5,-326.2
20-03-2024,67913.67188,49.3,12.9,18.6,23.3,-10.2,19,2.9,9.3,0,-386.6,-261.5
21-03-2024,65491.39063,233.4,2.9,12,2,4.2,3.8,4.7,1.8,0,-358.8,-94
22-03-2024,63778.76172,18.9,18.1,16.3,5.4,4.5,29.6,25.5,0,0,-169.9,-51.6
25-03-2024,69958.8125,35.5,261.8,14,0,18.5,20.5,11.2,4,0,-350.1,15.4
26-03-2024,69987.83594,162.2,279.1,16.7,73.6,26.7,26.3,29.9,15.8,0,-212.3,418
27-03-2024,69455.34375,323.8,1.5,0,200.7,4.8,4,5.1,1.9,1.5,-299.8,243.5
28-03-2024,70744.95313,95.1,68.1,67,27.6,3.9,0,6,20,0,-104.9,182.8
1/4/2024,69702.14844,165.9,44,1.1,-0.3,4.2,0,0,2,0,-302.6,-85.7
2/4/2024,65446.97266,150.5,44.8,4.3,-87.5,0,0,3.7,5.6,0,-81.9,39.5
3/4/2024,65980.8125,42,116.7,23,0,0,3.8,0,0,3.1,-75.1,113.5
4/4/2024,68508.84375,144,106.6,11.2,12,0,0,3.4,15.5,0,-79.3,213.4
5/4/2024,67837.64063,308.8,83,7.4,0,2.7,0,0,0,0,-198.9,203
8/4/2024,71631.35938,21.3,6.3,40.3,9.3,0,0,0,0,2.3,-303.3,-223.8
9/4/2024,69139.01563,128.7,3,3.8,0,0,0,0,0,0,-154.9,-19.4
10/4/2024,70587.88281,33.3,76.3,24.3,7.3,0,0,0,0,0,-17.5,123.7
11/4/2024,70060.60938,192.1,4.6,11.1,0,0,0,8.4,0,0,-124.9,91.3
12/4/2024,67195.86719,111.1,0,0,0,0,0,0,0,0,-166.2,-55.1
15-04-2024,63426.21094,73.4,0,0,0,0,0,0,0,0,-110.1,-36.7
16-04-2024,63811.86328,25.8,1.4,0,-12.9,0,1.8,1.7,3.6,0,-79.4,-58
17-04-2024,61276.69141,18.1,0,-7.3,-42.7,0,0,0,0,0,-133.1,-165
18-04-2024,63512.75391,18.8,37.4,12.8,9.5,0,0,0,7.2,0,-90,-4.3
19-04-2024,63843.57031,29.3,54.8,4.9,12.5,3.9,1.9,0,-1.8,0,-45.8,59.7
22-04-2024,66837.67969,19.7,34.8,2.2,22.6,2.7,7.7,0,7.5,0,-35,62.2
23-04-2024,66407.27344,37.9,4.4,23.2,33.3,-0.3,1.9,0,-1.9,0,-66.9,31.6
24-04-2024,64276.89844,0,5.6,0,4.2,0,0,0,0,0,-130.4,-120.6
25-04-2024,64481.70703,0,-22.6,-6,-31.3,0,1.9,-20.2,0,0,-139.4,-217.6
26-04-2024,63755.32031,0,-2.8,-3.8,5.4,0,0,0,0,0,-82.4,-83.6
29-04-2024,63841.12109,0,-6.9,6.8,-31.3,0,1.8,2.7,0,0,-24.7,-51.6
30-04-2024,60636.85547,0,-35.3,-34.3,3.6,-2.4,0,0,0,0,-93.2,-161.6
1/5/2024,58254.01172,-36.9,-191.1,-29,-98.1,-5.4,-13.4,-9.7,-6.5,-6.2,-167.4,-563.7
2/5/2024,59123.43359,0,0,0,13.3,1.5,3.4,2.3,0,0,-54.9,-34.4
3/5/2024,62889.83594,12.7,102.6,33.5,28.1,33.2,60.9,35.6,8.7,0,63,378.3
6/5/2024,63161.94922,21.5,99.2,2.1,75.6,11.1,1.8,0,1.8,0,3.9,217
7/5/2024,62334.81641,0,4.1,0,2.8,6,0,0,0,0,-28.6,-15.7
8/5/2024,61187.94141,0,0,11.5,0,0,0,0,0,0,0,11.5
9/5/2024,63049.96094,14.2,2.7,6.8,4.4,2.2,1.8,0,0,0,-43.4,-11.3
10/5/2024,60792.77734,12.4,5.3,0,0,0,0,0,0,0.6,-103,-84.7
13-05-2024,62901.44922,0,38.6,20.3,0,0,0,0,7.1,0,0,66
14-05-2024,61552.78906,0,8.1,0,133.1,5.5,1.8,1.2,1.7,0,-50.9,100.5
15-05-2024,66267.49219,0,131.3,86.3,38.6,4.6,1.9,3.7,7.5,2.1,27,303
16-05-2024,65231.58203,93.7,67.1,1.4,62,6.2,3.8,18.5,0,0,4.6,257.3
17-05-2024,67051.875,38.1,99.4,20.8,10,5.7,0,6.4,9.5,0,31.6,221.5
20-05-2024,71448.19531,66.4,64,24,68.3,0,0,0,0,5.2,9.3,237.2
21-05-2024,70136.53125,290,25.8,-4.2,0,0,0,0,-5.9,0,0,305.7
22-05-2024,69122.33594,92,74.6,0,3.5,0,0,0,0,0,-16.1,154
23-05-2024,67929.5625,89,19.1,0,2,2,0,0,9.5,0,-13.7,107.9
24-05-2024,68526.10156,182.1,43.7,6.4,4.1,0,0,0,15.6,0,0,251.9
28-05-2024,68296.21875,102.5,34.3,3.3,4.1,3.4,0,1.2,0,1.4,-105.2,45
29-05-2024,67578.09375,24.6,17.7,11,4,1,0,0,0,1.1,-31.1,28.3
30-05-2024,68364.99219,1.6,119.1,25.9,-99.9,2.1,0,0,0,0,0,48.8
